"doi";"version";"url";"disqus_thread_id";"comments_count";"year";"comments";"Year"
"10.1101/2020.10.28.20219816";"v3";"https://www.medrxiv.org/content/10.1101/2020.10.28.20219816v3?versioned=true";"8315735320";1;"10.1101/2020";1;2020
"10.1101/2020.12.10.20247205";"v3";"https://www.medrxiv.org/content/10.1101/2020.12.10.20247205v3?versioned=true";"8313132361";1;"10.1101/2020";3;2020
"10.1101/2020.12.10.20247338";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.10.20247338v1?versioned=true";"8311606073";1;"10.1101/2020";1;2020
"10.1101/2020.12.10.20244699";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.10.20244699v1?versioned=true";"8311004514";2;"10.1101/2020";2;2020
"10.1101/2020.12.09.20246363";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.09.20246363v1?versioned=true";"8310892380";1;"10.1101/2020";1;2020
"10.1101/2020.12.08.20246082";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.08.20246082v1?versioned=true";"8310836330";1;"10.1101/2020";1;2020
"10.1101/2020.12.04.20243949";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.04.20243949v1?versioned=true";"8310743036";2;"10.1101/2020";2;2020
"10.1101/2020.07.22.20160341";"v3";"https://www.medrxiv.org/content/10.1101/2020.07.22.20160341v3?versioned=true";"8309656054";3;"10.1101/2020";3;2020
"10.1101/2020.11.26.20238014";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.26.20238014v1?versioned=true";"8306880079";1;"10.1101/2020";1;2020
"10.1101/2020.12.03.20243725";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.03.20243725v1?versioned=true";"8304577323";1;"10.1101/2020";1;2020
"10.1101/2020.12.02.20242867";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.02.20242867v1?versioned=true";"8301210198";1;"10.1101/2020";1;2020
"10.1101/2020.12.02.20240648";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.02.20240648v1?versioned=true";"8301138926";26;"10.1101/2020";26;2020
"10.1101/2020.12.02.20242354";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.02.20242354v1?versioned=true";"8301010681";1;"10.1101/2020";1;2020
"10.1101/2020.12.01.20238006";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.01.20238006v1?versioned=true";"8299497878";1;"10.1101/2020";1;2020
"10.1101/2020.12.01.20242313";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.01.20242313v1?versioned=true";"8299485356";3;"10.1101/2020";3;2020
"10.1101/2020.07.31.20166116";"v2";"https://www.medrxiv.org/content/10.1101/2020.07.31.20166116v2?versioned=true";"8298683545";1;"10.1101/2020";8;2020
"10.1101/2020.12.01.20241653";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.01.20241653v1?versioned=true";"8298507798";1;"10.1101/2020";1;2020
"10.1101/2020.12.01.20241539";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.01.20241539v1?versioned=true";"8298496232";1;"10.1101/2020";1;2020
"10.1101/2020.10.30.20217364";"v4";"https://www.medrxiv.org/content/10.1101/2020.10.30.20217364v4?versioned=true";"8296231249";15;"10.1101/2020";18;2020
"10.1101/2020.11.27.20239087";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.27.20239087v1?versioned=true";"8296157168";4;"10.1101/2020";4;2020
"10.1101/2020.11.24.20237909";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.24.20237909v1?versioned=true";"8294685121";1;"10.1101/2020";1;2020
"10.1101/2020.10.30.20217364";"v3";"https://www.medrxiv.org/content/10.1101/2020.10.30.20217364v3?versioned=true";"8293113091";3;"10.1101/2020";18;2020
"10.1101/2020.10.23.20218396";"v2";"https://www.medrxiv.org/content/10.1101/2020.10.23.20218396v2?versioned=true";"8291038561";1;"10.1101/2020";1;2020
"10.1101/2020.07.14.20152728";"v3";"https://www.medrxiv.org/content/10.1101/2020.07.14.20152728v3?versioned=true";"8291019918";2;"10.1101/2020";2;2020
"10.1101/2020.11.23.20236810";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.23.20236810v1?versioned=true";"8289812909";1;"10.1101/2020";1;2020
"10.1101/2020.11.23.20236703";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.23.20236703v1?versioned=true";"8289545140";1;"10.1101/2020";1;2020
"10.1101/2020.11.23.20233155";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.23.20233155v1?versioned=true";"8289473617";4;"10.1101/2020";4;2020
"10.1101/2020.11.22.20236448";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.22.20236448v1?versioned=true";"8289431102";1;"10.1101/2020";1;2020
"10.1101/2020.07.17.20155218";"v5";"https://www.medrxiv.org/content/10.1101/2020.07.17.20155218v5?versioned=true";"8288344156";1;"10.1101/2020";1;2020
"10.1101/2020.11.16.20229047";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.16.20229047v1?versioned=true";"8285218467";2;"10.1101/2020";2;2020
"10.1101/2020.11.17.20233544";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.17.20233544v1?versioned=true";"8284358300";1;"10.1101/2020";1;2020
"10.1101/2020.11.18.20233874";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.18.20233874v1?versioned=true";"8283598207";5;"10.1101/2020";5;2020
"10.1101/2020.11.18.20234369";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.18.20234369v1?versioned=true";"8283522885";1;"10.1101/2020";1;2020
"10.1101/2020.11.17.20233080";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.17.20233080v1?versioned=true";"8282144342";2;"10.1101/2020";2;2020
"10.1101/2020.11.18.20233122";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.18.20233122v1?versioned=true";"8282130945";1;"10.1101/2020";1;2020
"10.1101/2020.11.17.20232918";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.17.20232918v1?versioned=true";"8282117999";1;"10.1101/2020";1;2020
"10.1101/2020.11.16.20231514";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.16.20231514v1?versioned=true";"8282045090";1;"10.1101/2020";1;2020
"10.1101/2020.11.16.20232512";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.16.20232512v1?versioned=true";"8282043980";2;"10.1101/2020";2;2020
"10.1101/2020.11.14.20231811";"v2";"https://www.medrxiv.org/content/10.1101/2020.11.14.20231811v2?versioned=true";"8281703492";1;"10.1101/2020";1;2020
"10.1101/2020.11.16.20232397";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.16.20232397v1?versioned=true";"8280815832";25;"10.1101/2020";25;2020
"10.1101/2020.06.24.20138768";"v3";"https://www.medrxiv.org/content/10.1101/2020.06.24.20138768v3?versioned=true";"8280811642";1;"10.1101/2020";12;2020
"10.1101/2020.07.23.20160762";"v3";"https://www.medrxiv.org/content/10.1101/2020.07.23.20160762v3?versioned=true";"8279938683";1;"10.1101/2020";23;2020
"10.1101/2020.10.31.20223776";"v2";"https://www.medrxiv.org/content/10.1101/2020.10.31.20223776v2?versioned=true";"8279921659";1;"10.1101/2020";1;2020
"10.1101/2020.11.13.20231472";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.13.20231472v1?versioned=true";"8279723804";1;"10.1101/2020";1;2020
"10.1101/2020.10.05.20207241";"v3";"https://www.medrxiv.org/content/10.1101/2020.10.05.20207241v3?versioned=true";"8279610135";2;"10.1101/2020";2;2020
"10.1101/2020.11.12.20230466";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.12.20230466v1?versioned=true";"8278038499";1;"10.1101/2020";1;2020
"10.1101/2020.11.12.20230292";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.12.20230292v1?versioned=true";"8276675644";2;"10.1101/2020";2;2020
"10.1101/2020.11.10.20219675";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.10.20219675v1?versioned=true";"8276294171";1;"10.1101/2020";1;2020
"10.1101/2020.11.11.20229708";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.11.20229708v1?versioned=true";"8275840720";6;"10.1101/2020";6;2020
"10.1101/2020.11.11.20229393";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.11.20229393v1?versioned=true";"8275815117";3;"10.1101/2020";3;2020
"10.1101/2020.11.09.20227850";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.09.20227850v1?versioned=true";"8275204314";1;"10.1101/2020";1;2020
"10.1101/2020.11.08.20222638";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.08.20222638v1?versioned=true";"8275140480";1;"10.1101/2020";1;2020
"10.1101/2020.11.08.20227983";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.08.20227983v1?versioned=true";"8275138236";1;"10.1101/2020";1;2020
"10.1101/2020.11.02.20223891";"v2";"https://www.medrxiv.org/content/10.1101/2020.11.02.20223891v2?versioned=true";"8274584141";1;"10.1101/2020";1;2020
"10.1101/2020.11.07.20226837";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.07.20226837v1?versioned=true";"8271400902";2;"10.1101/2020";2;2020
"10.1101/2020.11.07.20227082";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.07.20227082v1?versioned=true";"8271385464";1;"10.1101/2020";1;2020
"10.1101/2020.11.05.20226373";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.05.20226373v1?versioned=true";"8271371849";1;"10.1101/2020";1;2020
"10.1101/2020.10.12.20209809";"v2";"https://www.medrxiv.org/content/10.1101/2020.10.12.20209809v2?versioned=true";"8271306522";1;"10.1101/2020";1;2020
"10.1101/2020.11.06.20227025";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.06.20227025v1?versioned=true";"8268290160";1;"10.1101/2020";1;2020
"10.1101/2020.11.06.20149690";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.06.20149690v1?versioned=true";"8268254056";1;"10.1101/2020";1;2020
"10.1101/2020.11.06.20226803";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.06.20226803v1?versioned=true";"8268250744";1;"10.1101/2020";1;2020
"10.1101/2020.11.04.20226118";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.04.20226118v1?versioned=true";"8266410263";1;"10.1101/2020";1;2020
"10.1101/2020.11.04.20225417";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.04.20225417v1?versioned=true";"8266410249";1;"10.1101/2020";1;2020
"10.1101/2020.07.21.20157719";"v2";"https://www.medrxiv.org/content/10.1101/2020.07.21.20157719v2?versioned=true";"8265651353";1;"10.1101/2020";1;2020
"10.1101/2020.11.04.20225714";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.04.20225714v1?versioned=true";"8265203591";1;"10.1101/2020";1;2020
"10.1101/2020.11.03.20225359";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.03.20225359v1?versioned=true";"8265163695";1;"10.1101/2020";1;2020
"10.1101/2020.10.30.20215335";"v2";"https://www.medrxiv.org/content/10.1101/2020.10.30.20215335v2?versioned=true";"8265063205";1;"10.1101/2020";1;2020
"10.1101/2020.11.03.20225466";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.03.20225466v1?versioned=true";"8264336267";1;"10.1101/2020";1;2020
"10.1101/2020.11.02.20224485";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.02.20224485v1?versioned=true";"8264063319";1;"10.1101/2020";1;2020
"10.1101/2020.10.31.20221374";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.31.20221374v1?versioned=true";"8263896932";1;"10.1101/2020";1;2020
"10.1101/2020.08.26.20182824";"v2";"https://www.medrxiv.org/content/10.1101/2020.08.26.20182824v2?versioned=true";"8263771670";4;"10.1101/2020";10;2020
"10.1101/2020.10.30.20215301";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.30.20215301v1?versioned=true";"8263210103";1;"10.1101/2020";1;2020
"10.1101/2020.10.29.20220426";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.29.20220426v1?versioned=true";"8263128383";2;"10.1101/2020";3;2020
"10.1101/2020.10.28.20221630";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.28.20221630v1?versioned=true";"8263053062";1;"10.1101/2020";1;2020
"10.1101/2020.11.01.20222315";"v1";"https://www.medrxiv.org/content/10.1101/2020.11.01.20222315v1?versioned=true";"8262362643";1;"10.1101/2020";1;2020
"10.1101/2020.10.31.20223925";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.31.20223925v1?versioned=true";"8261001380";1;"10.1101/2020";1;2020
"10.1101/2020.10.28.20221176";"v2";"https://www.medrxiv.org/content/10.1101/2020.10.28.20221176v2?versioned=true";"8260713038";3;"10.1101/2020";3;2020
"10.1101/2020.10.27.20220905";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.27.20220905v1?versioned=true";"8260420673";1;"10.1101/2020";1;2020
"10.1101/2020.07.23.20160895";"v7";"https://www.medrxiv.org/content/10.1101/2020.07.23.20160895v7?versioned=true";"8259813542";6;"10.1101/2020";11;2020
"10.1101/2020.10.27.20220970";"v2";"https://www.medrxiv.org/content/10.1101/2020.10.27.20220970v2?versioned=true";"8258829984";2;"10.1101/2020";2;2020
"10.1101/2020.10.27.20220723";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.27.20220723v1?versioned=true";"8258268951";2;"10.1101/2020";2;2020
"10.1101/2020.07.14.20154005";"v2";"https://www.medrxiv.org/content/10.1101/2020.07.14.20154005v2?versioned=true";"8258157553";3;"10.1101/2020";3;2020
"10.1101/2020.07.26.20162420";"v3";"https://www.medrxiv.org/content/10.1101/2020.07.26.20162420v3?versioned=true";"8257617184";2;"10.1101/2020";4;2020
"10.1101/2020.04.24.20078022";"v4";"https://www.medrxiv.org/content/10.1101/2020.04.24.20078022v4?versioned=true";"8256932694";1;"10.1101/2020";1;2020
"10.1101/2020.10.21.20216192";"v2";"https://www.medrxiv.org/content/10.1101/2020.10.21.20216192v2?versioned=true";"8256331751";1;"10.1101/2020";2;2020
"10.1101/2020.10.25.20219063";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.25.20219063v1?versioned=true";"8255825787";1;"10.1101/2020";1;2020
"10.1101/2020.10.24.20218693";"v2";"https://www.medrxiv.org/content/10.1101/2020.10.24.20218693v2?versioned=true";"8255063422";1;"10.1101/2020";1;2020
"10.1101/2020.10.26.20219758";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.26.20219758v1?versioned=true";"8254728607";1;"10.1101/2020";1;2020
"10.1101/2020.10.26.20219345";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.26.20219345v1?versioned=true";"8254693915";1;"10.1101/2020";1;2020
"10.1101/2020.10.25.20219279";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.25.20219279v1?versioned=true";"8254684990";2;"10.1101/2020";2;2020
"10.1101/2020.10.23.20218651";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.23.20218651v1?versioned=true";"8254582851";4;"10.1101/2020";4;2020
"10.1101/2020.10.23.20218479";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.23.20218479v1?versioned=true";"8254575644";2;"10.1101/2020";2;2020
"10.1101/2020.10.23.20217810";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.23.20217810v1?versioned=true";"8254567389";1;"10.1101/2020";1;2020
"10.1101/2020.10.18.20214783";"v2";"https://www.medrxiv.org/content/10.1101/2020.10.18.20214783v2?versioned=true";"8254530258";1;"10.1101/2020";2;2020
"10.1101/2020.10.23.20218198";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.23.20218198v1?versioned=true";"8254496176";1;"10.1101/2020";1;2020
"10.1101/2020.10.22.20217968";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.22.20217968v1?versioned=true";"8254443266";1;"10.1101/2020";1;2020
"10.1101/2020.10.22.20215277";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.22.20215277v1?versioned=true";"8254417325";1;"10.1101/2020";1;2020
"10.1101/2020.04.17.20069153";"v3";"https://www.medrxiv.org/content/10.1101/2020.04.17.20069153v3?versioned=true";"8253717335";1;"10.1101/2020";1;2020
"10.1101/2020.10.22.20217562";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.22.20217562v1?versioned=true";"8253599971";1;"10.1101/2020";1;2020
"10.1101/2020.10.21.20216895";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.21.20216895v1?versioned=true";"8249869006";1;"10.1101/2020";1;2020
"10.1101/2020.10.21.20217042";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.21.20217042v1?versioned=true";"8249868178";1;"10.1101/2020";1;2020
"10.1101/2020.10.21.20216192";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.21.20216192v1?versioned=true";"8249857238";1;"10.1101/2020";2;2020
"10.1101/2020.10.21.20216721";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.21.20216721v1?versioned=true";"8249849780";1;"10.1101/2020";1;2020
"10.1101/2020.10.21.20217208";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.21.20217208v1?versioned=true";"8249848524";5;"10.1101/2020";5;2020
"10.1101/2020.09.16.20194571";"v2";"https://www.medrxiv.org/content/10.1101/2020.09.16.20194571v2?versioned=true";"8249191168";5;"10.1101/2020";6;2020
"10.1101/2020.10.20.20215715";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.20.20215715v1?versioned=true";"8247260031";1;"10.1101/2020";1;2020
"10.1101/2020.10.20.20215863";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.20.20215863v1?versioned=true";"8247243704";4;"10.1101/2020";4;2020
"10.1101/2020.10.20.20215855";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.20.20215855v1?versioned=true";"8247179297";1;"10.1101/2020";1;2020
"10.1101/2020.10.19.20214494";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.19.20214494v1?versioned=true";"8247166575";3;"10.1101/2020";3;2020
"10.1101/2020.10.19.20214940";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.19.20214940v1?versioned=true";"8247162666";6;"10.1101/2020";6;2020
"10.1101/2020.10.18.20214650";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.18.20214650v1?versioned=true";"8246507680";3;"10.1101/2020";3;2020
"10.1101/2020.10.18.20214692";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.18.20214692v1?versioned=true";"8246475023";1;"10.1101/2020";1;2020
"10.1101/2020.10.16.20213892";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.16.20213892v1?versioned=true";"8246442375";4;"10.1101/2020";4;2020
"10.1101/2020.10.18.20214783";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.18.20214783v1?versioned=true";"8246039907";1;"10.1101/2020";2;2020
"10.1101/2020.07.31.20165696";"v2";"https://www.medrxiv.org/content/10.1101/2020.07.31.20165696v2?versioned=true";"8244865691";1;"10.1101/2020";1;2020
"10.1101/2020.10.15.20213546";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.15.20213546v1?versioned=true";"8243695421";1;"10.1101/2020";1;2020
"10.1101/2020.10.15.20205054";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.15.20205054v1?versioned=true";"8243617126";1;"10.1101/2020";1;2020
"10.1101/2020.10.13.20212035";"v3";"https://www.medrxiv.org/content/10.1101/2020.10.13.20212035v3?versioned=true";"8242972977";1;"10.1101/2020";2;2020
"10.1101/2020.10.14.20212498";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.14.20212498v1?versioned=true";"8241418257";6;"10.1101/2020";6;2020
"10.1101/2020.10.14.20212555";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.14.20212555v1?versioned=true";"8241412505";3;"10.1101/2020";3;2020
"10.1101/2020.10.13.20212035";"v2";"https://www.medrxiv.org/content/10.1101/2020.10.13.20212035v2?versioned=true";"8241186378";1;"10.1101/2020";2;2020
"10.1101/2020.10.15.20209817";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.15.20209817v1?versioned=true";"8240476923";23;"10.1101/2020";23;2020
"10.1101/2020.07.12.20148387";"v3";"https://www.medrxiv.org/content/10.1101/2020.07.12.20148387v3?versioned=true";"8240347965";2;"10.1101/2020";3;2020
"10.1101/2020.10.06.20208066";"v3";"https://www.medrxiv.org/content/10.1101/2020.10.06.20208066v3?versioned=true";"8239034043";2;"10.1101/2020";5;2020
"10.1101/2020.10.13.20211524";"v2";"https://www.medrxiv.org/content/10.1101/2020.10.13.20211524v2?versioned=true";"8239033712";1;"10.1101/2020";1;2020
"10.1101/2020.05.28.20116129";"v4";"https://www.medrxiv.org/content/10.1101/2020.05.28.20116129v4?versioned=true";"8238812475";2;"10.1101/2020";15;2020
"10.1101/2020.10.13.20211854";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.13.20211854v1?versioned=true";"8238527639";1;"10.1101/2020";1;2020
"10.1101/2020.10.12.20211599";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.12.20211599v1?versioned=true";"8238519425";5;"10.1101/2020";5;2020
"10.1101/2020.10.12.20210294";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.12.20210294v1?versioned=true";"8238448603";2;"10.1101/2020";2;2020
"10.1101/2020.10.12.20211219";"v1";"https://www.medrxiv.org/content/10.1101/2020.10.12.20211219v1?versioned=true";"8238414464";2;"10.1101/2020";2;2020
"10.1101/2020.10.07.20208355";"v2";"https://www.medrxiv.org/content/10.1101/2020.10.07.20208355v2?versioned=true";"8237096254";1;"10.1101/2020";1;2020
